Interior Design Jobs,https://www.naukri.com/interior-design-jobs?xt=catsrch&qf[]=2,Interior Designer,Super India Tech Mark,0-1 Yrs,"2,25,000 - 4,25,000 PA.",Kalyan/Dombivli,"b' Roles and ResponsibilitiesProficiency in Autocad is a must, knowledge of Photoshop, 3DS...'","['Autocad Drafting', 'AutoCAD 3D', 'Interior Designing', 'Design', 'Rhino', 'Interiors', 'Photoshop', '3Ds Max']",2021-03-26,2021-03-29
Interior Design Jobs,https://www.naukri.com/interior-design-jobs?xt=catsrch&qf[]=2,Interior Designer,Super India Tech Mark,0-2 Yrs,"1,50,000 - 2,50,000 PA.",Kochi/Cochin,b' A full time employee and team member handling event and interior design projects across...',"['Sketchup', 'Design', 'Construction', 'Architecture', 'Written Communication', 'AutoCAD', 'Illustrator', 'Detailing']",2021-03-14,2021-03-29
Interior Design Jobs,https://www.naukri.com/interior-design-jobs?xt=catsrch&qf[]=2,Interior Designer,kk consulting services,0-5 Yrs,Not disclosed,Mumbai,b' Job description interacting with customers Set costs and project fees according to budg...',"['Supervisor', 'Accessories', 'Cardiac Nurse', 'AutoCAD', 'Consulting', 'Pharma marketing', 'Healthcare', 'Budgeting']",2021-03-26,2021-03-29
Interior Design Jobs,https://www.naukri.com/interior-design-jobs?xt=catsrch&qf[]=2,Interior Designer,Super India Tech Mark,0-2 Yrs,"1,50,000 - 2,50,000 PA.",Mumbai (All Areas)(Joveli Gaon),b' A full time employee and team member handling event and interior design projects across...',"['Design', 'Construction', 'Written Communication', 'AutoCAD', 'Negotiation Skills', 'Detailing', 'Auto Cadd', 'REVIT']",2021-03-20,2021-03-29
Interior Design Jobs,https://www.naukri.com/interior-design-jobs?xt=catsrch&qf[]=2,Interior Designer,Home Interior Design E Commerce,2-7 Yrs,Not disclosed,"Gurgaon/Gurugram, Delhi / NCR","b' Along with the Studio Owner, meet new clients, and understand their requirements in det...'","['Design', 'AutoCAD', 'Residential', 'Housing', 'Interior Designing']",2021-03-17,2021-03-29
Interior Design Jobs,https://www.naukri.com/interior-design-jobs?xt=catsrch&qf[]=2,Architect Interior Designer,Super India Tech Mark,0-2 Yrs,"1,25,000 - 2,25,000 PA.",Guntur,"b' They should be able to handle clients, project managers and take up the site responsibi...'","['Construction', 'Site Management', 'Residential', 'Detailing', 'Working Drawings', 'Presentation Drawings', 'Concept Design', 'Master Planning']",2021-03-26,2021-03-29
Interior Design Jobs,https://www.naukri.com/interior-design-jobs?xt=catsrch&qf[]=2,Interior Designer,Super India Tech Mark,0-2 Yrs,"1,00,000 - 2,00,000 PA.",Hyderabad/Secunderabad(Pasumamula),b' communication & leadership skills -Ability to manage & supervise the team -Must have pr...',"['Sketchup', 'Design', 'Construction', 'Written Communication', 'AutoCAD', 'Illustrator', 'Detailing', 'Space Planning']",2021-03-25,2021-03-29
Interior Design Jobs,https://www.naukri.com/interior-design-jobs?xt=catsrch&qf[]=2,Interior Designer,Super India Tech Mark,0-1 Yrs,"1,75,000 - 2,25,000 PA.",Pondicherry/Puducherry,b' Roles and ResponsibilitiesAbility to work independently and lead the project from scrat...',"['Photoshop', '3DSmax', 'Interior Designing', 'Sketchup', 'Architecture', 'AutoCAD', 'Illustrator', 'Detailing']",2021-03-25,2021-03-29
Interior Design Jobs,https://www.naukri.com/interior-design-jobs?xt=catsrch&qf[]=2,Interior Designer,Super India Tech Mark,0-2 Yrs,"1,25,000 - 2,25,000 PA.",Hyderabad/Secunderabad(Errakunta),b' communication & leadership skills -Ability to manage & supervise the team -Must have pr...',"['Sketchup', 'Design', 'Construction', 'Architecture', 'AutoCAD', 'Illustrator', 'Detailing', 'Space Planning']",2021-03-24,2021-03-29
Interior Design Jobs,https://www.naukri.com/interior-design-jobs?xt=catsrch&qf[]=2,Interior Designer,Super India Tech Mark,0-1 Yrs,"1,75,000 - 2,75,000 PA.",Chandigarh,"b' Candidate shall be well versed with Autocad, Sketchup and V-ray, Photoshop and MS offic...'","['Photoshop', 'Space Planning', '3DSmax', 'Sketchup', 'Architecture', 'AutoCAD', 'Illustrator', 'VRAY']",2021-03-20,2021-03-29
Interior Design Jobs,https://www.naukri.com/interior-design-jobs?xt=catsrch&qf[]=2,Architect Interior Designer,Super India Tech Mark,0-2 Yrs,"1,25,000 - 2,25,000 PA.",Hugli,"b' They should be able to handle clients, project managers and take up the site responsibi...'","['Drawing', 'Residential', 'Detailing', 'Working Drawings', 'Presentation Drawings', 'Concept Design', 'Interior Designing']",2021-03-19,2021-03-29
Interior Design Jobs,https://www.naukri.com/interior-design-jobs?xt=catsrch&qf[]=2,Interior Designer,Super India Tech Mark,0-2 Yrs,"1,25,000 - 2,25,000 PA.",Jaipur,b' communication & leadership skills -Ability to manage & supervise the team -Must have pr...',"['Sketchup', 'Design', 'Construction', 'AutoCAD', 'Detailing', 'Auto Cadd', 'REVIT', 'Space Planning']",2021-03-17,2021-03-29
